,Age,Count,Gender
0,100+,10198,Female
1,100+,-1494,Male
2,99,81425,Female
3,99,-17692,Male
4,94,289753,Female
5,94,-93046,Male
6,89,436332,Female
7,89,-197914,Male
8,84,1060827,Female
9,84,-602418,Male
10,79,1282113,Female
11,79,-880858,Male
12,74,1406007,Female
13,74,-1106403,Male
14,69,1366204,Female
15,69,-1197360,Male
16,64,1388353,Female
17,64,-1315866,Male
18,59,2039939,Female
19,59,-1980629,Male
20,54,2106197,Female
21,54,-2033312,Male
22,49,2132080,Female
23,49,-2055565,Male
24,44,2181701,Female
25,44,-2126249,Male
26,39,2141477,Female
27,39,-2113895,Male
28,34,2124574,Female
29,34,-2111964,Male
30,29,1881533,Female
31,29,-1863202,Male
32,24,1924219,Female
33,24,-1943611,Male
34,19,1916550,Female
35,19,-1996849,Male
36,14,1805326,Female
37,14,-1895417,Male
38,9,1792300,Female
39,9,-1882001,Male
40,4,1820876,Female
41,4,-1906338,Male
