,Age,Count,Gender
0,100+,166,Female
1,100+,-48,Male
2,99,2827,Female
3,99,-848,Male
4,94,25206,Female
5,94,-9182,Male
6,89,113144,Female
7,89,-52497,Male
8,84,295211,Female
9,84,-166649,Male
10,79,565538,Female
11,79,-366100,Male
12,74,837451,Female
13,74,-579647,Male
14,69,1038021,Female
15,69,-714721,Male
16,64,1180573,Female
17,64,-848466,Male
18,59,1292457,Female
19,59,-935238,Male
20,54,1425060,Female
21,54,-1257076,Male
22,49,1527383,Female
23,49,-1513921,Male
24,44,1545653,Female
25,44,-1537904,Male
26,39,1456129,Female
27,39,-1442350,Male
28,34,988284,Female
29,34,-986880,Male
30,29,1633946,Female
31,29,-1646921,Male
32,24,1581227,Female
33,24,-1640403,Male
34,19,1543135,Female
35,19,-1593016,Male
36,14,1401383,Female
37,14,-1421578,Male
38,9,1336332,Female
39,9,-1379641,Male
40,4,1942991,Female
41,4,-2017139,Male
