,Age,Count,Gender
0,100+,2352,Female
1,100+,-408,Male
2,99,24494,Female
3,99,-4997,Male
4,94,125689,Female
5,94,-31603,Male
6,89,377334,Female
7,89,-137582,Male
8,84,739858,Female
9,84,-367961,Male
10,79,1044962,Female
11,79,-640337,Male
12,74,1185147,Female
13,74,-848935,Male
14,69,889248,Female
15,69,-720321,Male
16,64,1554857,Female
17,64,-1352499,Male
18,59,1577682,Female
19,59,-1474480,Male
20,54,1582331,Female
21,54,-1549994,Male
22,49,1468498,Female
23,49,-1489238,Male
24,44,1449495,Female
25,44,-1510692,Male
26,39,2095989,Female
27,39,-2173852,Male
28,34,2117511,Female
29,34,-2153430,Male
30,29,2092793,Female
31,29,-2096808,Male
32,24,2110575,Female
33,24,-2138016,Male
34,19,2077112,Female
35,19,-2166667,Male
36,14,2058224,Female
37,14,-2168404,Male
38,9,1819027,Female
39,9,-1904388,Male
40,4,1847045,Female
41,4,-1937256,Male
