,Age,Count,Gender
0,100+,14894,Female
1,100+,-2192,Male
2,99,98779,Female
3,99,-22570,Male
4,94,244308,Female
5,94,-86005,Male
6,89,780600,Female
7,89,-364875,Male
8,84,1098957,Female
9,84,-659227,Male
10,79,1306126,Female
11,79,-940429,Male
12,74,1315713,Female
13,74,-1083325,Male
14,69,1357388,Female
15,69,-1229118,Male
16,64,2015005,Female
17,64,-1895071,Male
18,59,2095315,Female
19,59,-1979206,Male
20,54,2119711,Female
21,54,-2019333,Male
22,49,2186126,Female
23,49,-2116369,Male
24,44,2164843,Female
25,44,-2126801,Male
26,39,2176143,Female
27,39,-2157403,Male
28,34,1948598,Female
29,34,-1914402,Male
30,29,1953942,Female
31,29,-1908744,Male
32,24,1911211,Female
33,24,-1936330,Male
34,19,1850124,Female
35,19,-1936142,Male
36,14,1843692,Female
37,14,-1938488,Male
38,9,1864171,Female
39,9,-1952364,Male
40,4,1873421,Female
41,4,-1957096,Male
