,Age,Count,Gender
0,100+,122170,Female
1,100+,-39873,Male
2,99,507336,Female
3,99,-237882,Male
4,94,1118063,Female
5,94,-689684,Male
6,89,1489480,Female
7,89,-1089757,Male
8,84,1816457,Female
9,84,-1438016,Male
10,79,1954111,Female
11,79,-1623898,Male
12,74,1957012,Female
13,74,-1685826,Male
14,69,2017673,Female
15,69,-1760657,Male
16,64,2059670,Female
17,64,-1788414,Male
18,59,2095490,Female
19,59,-1833522,Male
20,54,2102855,Female
21,54,-1859268,Male
22,49,1997317,Female
23,49,-1758188,Male
24,44,1903876,Female
25,44,-1656101,Male
26,39,1843668,Female
27,39,-1613135,Male
28,34,1733534,Female
29,34,-1535446,Male
30,29,1601765,Female
31,29,-1489442,Male
32,24,1611834,Female
33,24,-1626174,Male
34,19,1668162,Female
35,19,-1763396,Male
36,14,1611124,Female
37,14,-1693107,Male
38,9,1502958,Female
39,9,-1571105,Male
40,4,1433496,Female
41,4,-1497849,Male
