,Age,Count,Gender
0,100+,80596,Female
1,100+,-24954,Male
2,99,384321,Female
3,99,-165388,Male
4,94,929547,Female
5,94,-528180,Male
6,89,1458849,Female
7,89,-1019163,Male
8,84,1756351,Female
9,84,-1393552,Male
10,79,1950279,Female
11,79,-1671239,Male
12,74,1893162,Female
13,74,-1677751,Male
14,69,2035526,Female
15,69,-1821900,Male
16,64,2082811,Female
17,64,-1884073,Male
18,59,2031322,Female
19,59,-1863883,Male
20,54,2064690,Female
21,54,-1876305,Male
22,49,2086147,Female
23,49,-1857151,Male
24,44,2108214,Female
25,44,-1862665,Male
26,39,2052175,Female
27,39,-1826845,Male
28,34,1821386,Female
29,34,-1624759,Male
30,29,1599675,Female
31,29,-1481082,Male
32,24,1620868,Female
33,24,-1633266,Male
34,19,1735370,Female
35,19,-1833141,Male
36,14,1736857,Female
37,14,-1825028,Male
38,9,1651909,Female
39,9,-1727836,Male
40,4,1539582,Female
41,4,-1609262,Male
