,Age,Count,Gender
0,100+,41019,Female
1,100+,-10052,Male
2,99,202631,Female
3,99,-77646,Male
4,94,534487,Female
5,94,-286869,Male
6,89,1268980,Female
7,89,-844946,Male
8,84,1633638,Female
9,84,-1223523,Male
10,79,1838334,Female
11,79,-1491055,Male
12,74,1993343,Female
13,74,-1732177,Male
14,69,2046878,Female
15,69,-1873589,Male
16,64,2127308,Female
17,64,-2015576,Male
18,59,1992395,Female
19,59,-1901297,Male
20,54,2103565,Female
21,54,-1976176,Male
22,49,2123581,Female
23,49,-1979282,Male
24,44,2051937,Female
25,44,-1907416,Male
26,39,2019630,Female
27,39,-1852425,Male
28,34,1914884,Female
29,34,-1730550,Male
30,29,1807325,Female
31,29,-1692682,Male
32,24,1830351,Female
33,24,-1849319,Male
34,19,1823540,Female
35,19,-1923946,Male
36,14,1735840,Female
37,14,-1818747,Male
38,9,1661985,Female
39,9,-1736337,Male
40,4,1607292,Female
41,4,-1679558,Male
