,Age,Count,Gender
0,100+,7250,Female
1,100+,-968,Male
2,99,63799,Female
3,99,-13309,Male
4,94,261938,Female
5,94,-79469,Male
6,89,569737,Female
7,89,-240120,Male
8,84,612584,Female
9,84,-340972,Male
10,79,1265767,Female
11,79,-840491,Male
12,74,1397526,Female
13,74,-1067660,Male
14,69,1468615,Female
15,69,-1247267,Male
16,64,1399292,Female
17,64,-1293201,Male
18,59,1406247,Female
19,59,-1383451,Male
20,54,2049695,Female
21,54,-2037799,Male
22,49,2116217,Female
23,49,-2074849,Male
24,44,2129552,Female
25,44,-2073114,Male
26,39,2162983,Female
27,39,-2121255,Male
28,34,2101525,Female
29,34,-2082017,Male
30,29,2069841,Female
31,29,-2067031,Male
32,24,1859195,Female
33,24,-1885696,Male
34,19,1909734,Female
35,19,-1985877,Male
36,14,1858326,Female
37,14,-1947604,Male
38,9,1749107,Female
39,9,-1835457,Male
40,4,1750113,Female
41,4,-1838791,Male
