,Age,Count,Gender
0,100+,105310,Female
1,100+,-33305,Male
2,99,471835,Female
3,99,-214957,Male
4,94,1050808,Female
5,94,-634590,Male
6,89,1558769,Female
7,89,-1137942,Male
8,84,1707567,Female
9,84,-1374877,Male
10,79,1930456,Female
11,79,-1614211,Male
12,74,2012431,Female
13,74,-1730931,Male
14,69,1988153,Female
15,69,-1761799,Male
16,64,2045364,Female
17,64,-1817857,Male
18,59,2069403,Female
19,59,-1821423,Male
20,54,2101001,Female
21,54,-1850899,Male
22,49,2111296,Female
23,49,-1873533,Male
24,44,1993821,Female
25,44,-1752513,Male
26,39,1846364,Female
27,39,-1611831,Male
28,34,1727826,Female
29,34,-1527963,Male
30,29,1602317,Female
31,29,-1489234,Male
32,24,1625779,Female
33,24,-1640452,Male
34,19,1720663,Female
35,19,-1818604,Male
36,14,1670252,Female
37,14,-1755244,Male
38,9,1540172,Female
39,9,-1610342,Male
40,4,1443115,Female
41,4,-1507750,Male
