,Age,Count,Gender
0,100+,528,Female
1,100+,-104,Male
2,99,7357,Female
3,99,-2007,Male
4,94,52970,Female
5,94,-18354,Male
6,89,199008,Female
7,89,-83149,Male
8,84,456883,Female
9,84,-213804,Male
10,79,741521,Female
11,79,-396599,Male
12,74,993399,Female
13,74,-574153,Male
14,69,1223402,Female
15,69,-901690,Male
16,64,1395003,Female
17,64,-1219760,Male
18,59,1465333,Female
19,59,-1352567,Male
20,54,1436576,Female
21,54,-1361243,Male
22,49,997074,Female
23,49,-974441,Male
24,44,1665525,Female
25,44,-1661604,Male
26,39,1639788,Female
27,39,-1692417,Male
28,34,1599234,Female
29,34,-1677843,Male
30,29,1449793,Female
31,29,-1536305,Male
32,24,1390685,Female
33,24,-1478035,Male
34,19,2010611,Female
35,19,-2085531,Male
36,14,2000680,Female
37,14,-2072140,Male
38,9,1984809,Female
39,9,-2059154,Male
40,4,2007787,Female
41,4,-2089927,Male
