,Age,Count,Gender
0,100+,50320,Female
1,100+,-14980,Male
2,99,351813,Female
3,99,-150656,Male
4,94,874657,Female
5,94,-487432,Male
6,89,1380896,Female
7,89,-935610,Male
8,84,1737754,Female
9,84,-1350112,Male
10,79,1904285,Female
11,79,-1609492,Male
12,74,2030996,Female
13,74,-1813337,Male
14,69,1935617,Female
15,69,-1773117,Male
16,64,2072433,Female
17,64,-1896039,Male
18,59,2098960,Female
19,59,-1929474,Male
20,54,2040457,Female
21,54,-1888052,Male
22,49,2075619,Female
23,49,-1894464,Male
24,44,2084601,Female
25,44,-1854407,Male
26,39,2052011,Female
27,39,-1820616,Male
28,34,1937096,Female
29,34,-1743195,Male
30,29,1690540,Female
31,29,-1579379,Male
32,24,1623951,Female
33,24,-1632675,Male
34,19,1729937,Female
35,19,-1826193,Male
36,14,1737585,Female
37,14,-1825182,Male
38,9,1665964,Female
39,9,-1742329,Male
40,4,1592212,Female
41,4,-1664643,Male
