,Age,Count,Gender
0,100+,153574,Female
1,100+,-52196,Male
2,99,564804,Female
3,99,-271882,Male
4,94,1198708,Female
5,94,-734117,Male
6,89,1650018,Female
7,89,-1190481,Male
8,84,1814261,Female
9,84,-1439713,Male
10,79,1944330,Female
11,79,-1602051,Male
12,74,2009985,Female
13,74,-1672419,Male
14,69,2064325,Female
15,69,-1754492,Male
16,64,2092259,Female
17,64,-1815505,Male
18,59,1987994,Female
19,59,-1733818,Male
20,54,1902247,Female
21,54,-1652981,Male
22,49,1906155,Female
23,49,-1665294,Male
24,44,1907546,Female
25,44,-1665823,Male
26,39,1849219,Female
27,39,-1621473,Male
28,34,1719313,Female
29,34,-1521925,Male
30,29,1535564,Female
31,29,-1420548,Male
32,24,1500404,Female
33,24,-1509279,Male
34,19,1571922,Female
35,19,-1662188,Male
36,14,1564364,Female
37,14,-1644047,Male
38,9,1486893,Female
39,9,-1554530,Male
40,4,1409204,Female
41,4,-1472374,Male
