,Age,Count,Gender
0,100+,136494,Female
1,100+,-45702,Male
2,99,554363,Female
3,99,-265108,Male
4,94,1095406,Female
5,94,-679705,Male
6,89,1601342,Female
7,89,-1154885,Male
8,84,1850044,Female
9,84,-1459846,Male
10,79,1906310,Female
11,79,-1589530,Male
12,74,1989938,Female
13,74,-1690631,Male
14,69,2034391,Female
15,69,-1736240,Male
16,64,2087389,Female
17,64,-1803186,Male
18,59,2098595,Female
19,59,-1843478,Male
20,54,1990252,Female
21,54,-1746172,Male
22,49,1908135,Female
23,49,-1663048,Male
24,44,1901446,Female
25,44,-1657776,Male
26,39,1849526,Female
27,39,-1620851,Male
28,34,1733082,Female
29,34,-1535833,Male
30,29,1587897,Female
31,29,-1475342,Male
32,24,1559412,Female
33,24,-1571156,Male
34,19,1609078,Female
35,19,-1701335,Male
36,14,1573932,Female
37,14,-1653898,Male
38,9,1493372,Female
39,9,-1561237,Male
40,4,1426990,Female
41,4,-1491112,Male
