,Age,Count,Gender
0,100+,18926,Female
1,100+,-2884,Male
2,99,91142,Female
3,99,-23281,Male
4,94,447272,Female
5,94,-164016,Male
6,89,828708,Female
7,89,-420144,Male
8,84,1134708,Female
9,84,-731022,Male
10,79,1225977,Female
11,79,-939819,Male
12,74,1305013,Female
13,74,-1121223,Male
14,69,1961114,Female
15,69,-1775646,Male
16,64,2060152,Female
17,64,-1893663,Male
18,59,2097676,Female
19,59,-1963328,Male
20,54,2164439,Female
21,54,-2077344,Male
22,49,2159904,Female
23,49,-2112023,Male
24,44,2195591,Female
25,44,-2166639,Male
26,39,2001626,Female
27,39,-1954751,Male
28,34,2025105,Female
29,34,-1944029,Male
30,29,1912715,Female
31,29,-1863124,Male
32,24,1795548,Female
33,24,-1829794,Male
34,19,1848690,Female
35,19,-1947684,Male
36,14,1903998,Female
37,14,-1998883,Male
38,9,1913499,Female
39,9,-2001513,Male
40,4,1853323,Female
41,4,-1933822,Male
