,Age,Count,Gender
0,100+,43684,Female
1,100+,-12051,Male
2,99,222799,Female
3,99,-92141,Male
4,94,819141,Female
5,94,-454239,Male
6,89,1331455,Female
7,89,-888616,Male
8,84,1669262,Female
9,84,-1262367,Male
10,79,1898182,Female
11,79,-1575701,Male
12,74,1991229,Female
13,74,-1757213,Male
14,69,2082598,Female
15,69,-1925114,Male
16,64,1973546,Female
17,64,-1849905,Male
18,59,2090657,Female
19,59,-1945491,Male
20,54,2110247,Female
21,54,-1957088,Male
22,49,2052257,Female
23,49,-1907812,Male
24,44,2074603,Female
25,44,-1892757,Male
26,39,2028543,Female
27,39,-1812724,Male
28,34,1936792,Female
29,34,-1737019,Male
30,29,1806072,Female
31,29,-1698187,Male
32,24,1715047,Female
33,24,-1731843,Male
34,19,1733456,Female
35,19,-1826383,Male
36,14,1732199,Female
37,14,-1818262,Male
38,9,1666504,Female
39,9,-1742257,Male
40,4,1606119,Female
41,4,-1678974,Male
