,Age,Count,Gender
0,100+,190797,Female
1,100+,-63797,Male
2,99,690045,Female
3,99,-328950,Male
4,94,1273649,Female
5,94,-790234,Male
6,89,1694712,Female
7,89,-1225512,Male
8,84,1893461,Female
9,84,-1463487,Male
10,79,2006962,Female
11,79,-1620788,Male
12,74,2053521,Female
13,74,-1715239,Male
14,69,1967259,Female
15,69,-1672097,Male
16,64,1900546,Female
17,64,-1625215,Male
18,59,1901520,Female
19,59,-1648202,Male
20,54,1908153,Female
21,54,-1665523,Male
22,49,1913017,Female
23,49,-1675370,Male
24,44,1894110,Female
25,44,-1653507,Male
26,39,1783557,Female
27,39,-1553619,Male
28,34,1608284,Female
29,34,-1405978,Male
30,29,1439618,Female
31,29,-1320065,Male
32,24,1453818,Female
33,24,-1460580,Male
34,19,1555945,Female
35,19,-1645732,Male
36,14,1540158,Female
37,14,-1618668,Male
38,9,1438065,Female
39,9,-1503198,Male
40,4,1340758,Female
41,4,-1400323,Male
