,Age,Count,Gender
0,100+,235931,Female
1,100+,-78589,Male
2,99,786191,Female
3,99,-376397,Male
4,94,1409393,Female
5,94,-860243,Male
6,89,1799016,Female
7,89,-1288910,Male
8,84,1961169,Female
9,84,-1534313,Male
10,79,1927665,Female
11,79,-1565428,Male
12,74,1876025,Female
13,74,-1551090,Male
14,69,1889508,Female
15,69,-1601414,Male
16,64,1911366,Female
17,64,-1644541,Male
18,59,1911634,Female
19,59,-1662589,Male
20,54,1896850,Female
21,54,-1656091,Male
22,49,1848760,Female
23,49,-1609674,Male
24,44,1783956,Female
25,44,-1539152,Male
26,39,1688113,Female
27,39,-1454163,Male
28,34,1561986,Female
29,34,-1357913,Male
30,29,1423838,Female
31,29,-1304055,Male
32,24,1429754,Female
33,24,-1435485,Male
34,19,1507199,Female
35,19,-1594523,Male
36,14,1471799,Female
37,14,-1546717,Male
38,9,1370456,Female
39,9,-1432090,Male
40,4,1287916,Female
41,4,-1344526,Male
