,Age,Count,Gender
0,100+,18429,Female
1,100+,-3166,Male
2,99,163357,Female
3,99,-43820,Male
4,94,482181,Female
5,94,-194004,Male
6,89,865621,Female
7,89,-478132,Male
8,84,1073991,Female
9,84,-747137,Male
10,79,1216944,Female
11,79,-979534,Male
12,74,1883158,Female
13,74,-1622660,Male
14,69,1998339,Female
15,69,-1776490,Male
16,64,2059775,Female
17,64,-1882189,Male
18,59,2136450,Female
19,59,-2024882,Male
20,54,2139058,Female
21,54,-2074897,Male
22,49,2185770,Female
23,49,-2148368,Male
24,44,2024125,Female
25,44,-1966459,Male
26,39,2079161,Female
27,39,-1976215,Male
28,34,1979847,Female
29,34,-1880288,Male
30,29,1773134,Female
31,29,-1742947,Male
32,24,1787819,Female
33,24,-1843920,Male
34,19,1902727,Female
35,19,-2007413,Male
36,14,1948391,Female
37,14,-2040355,Male
38,9,1886994,Female
39,9,-1970914,Male
40,4,1698600,Female
41,4,-1772381,Male
