,Age,Count,Gender
0,100+,3353,Female
1,100+,-498,Male
2,99,32859,Female
3,99,-5968,Male
4,94,163098,Female
5,94,-45398,Male
6,89,460804,Female
7,89,-180164,Male
8,84,812231,Female
9,84,-412651,Male
10,79,1039733,Female
11,79,-654693,Male
12,74,828208,Female
13,74,-613026,Male
14,69,1490852,Female
15,69,-1208621,Male
16,64,1537275,Female
17,64,-1364607,Male
18,59,1554924,Female
19,59,-1469993,Male
20,54,1450481,Female
21,54,-1435279,Male
22,49,1435117,Female
23,49,-1474389,Male
24,44,2086099,Female
25,44,-2139281,Male
26,39,2130026,Female
27,39,-2139027,Male
28,34,2120167,Female
29,34,-2102705,Male
30,29,2121369,Female
31,29,-2111255,Male
32,24,2079756,Female
33,24,-2117663,Male
34,19,2090894,Female
35,19,-2185266,Male
36,14,1839960,Female
37,14,-1928567,Male
38,9,1871091,Female
39,9,-1960583,Male
40,4,1815107,Female
41,4,-1899849,Male
