,Age,Count,Gender
0,100+,31025,Female
1,100+,-5842,Male
2,99,180261,Female
3,99,-54012,Male
4,94,511773,Female
5,94,-227256,Male
6,89,833126,Female
7,89,-504186,Male
8,84,1072038,Female
9,84,-787393,Male
10,79,1763785,Female
11,79,-1431254,Male
12,74,1924530,Female
13,74,-1636600,Male
14,69,2004742,Female
15,69,-1778800,Male
16,64,2105456,Female
17,64,-1954928,Male
18,59,2119987,Female
19,59,-2031735,Male
20,54,2168182,Female
21,54,-2117086,Male
22,49,2020047,Female
23,49,-1958159,Male
24,44,2119357,Female
25,44,-2002970,Male
26,39,2070349,Female
27,39,-1941993,Male
28,34,1883583,Female
29,34,-1786338,Male
30,29,1775844,Female
31,29,-1726177,Male
32,24,1807866,Female
33,24,-1836822,Male
34,19,1940425,Female
35,19,-2038329,Male
36,14,1943390,Female
37,14,-2037684,Male
38,9,1756129,Female
39,9,-1834702,Male
40,4,1605814,Female
41,4,-1673398,Male
