,Age,Count,Gender
0,100+,36296,Female
1,100+,-7814,Male
2,99,197635,Female
3,99,-67187,Male
4,94,508259,Female
5,94,-253294,Male
6,89,848210,Female
7,89,-549148,Male
8,84,1575785,Female
9,84,-1181935,Male
10,79,1814872,Female
11,79,-1464537,Male
12,74,1939563,Female
13,74,-1651705,Male
14,69,2054340,Female
15,69,-1855546,Male
16,64,2094128,Female
17,64,-1967187,Male
18,59,2151033,Female
19,59,-2077395,Male
20,54,2005409,Female
21,54,-1932969,Male
22,49,2117929,Female
23,49,-2000273,Male
24,44,2124053,Female
25,44,-1980163,Male
26,39,1996110,Female
27,39,-1866855,Male
28,34,1904006,Female
29,34,-1769145,Male
30,29,1783254,Female
31,29,-1685830,Male
32,24,1832476,Female
33,24,-1847102,Male
34,19,1940937,Female
35,19,-2045053,Male
36,14,1825840,Female
37,14,-1916018,Male
38,9,1664297,Female
39,9,-1735293,Male
40,4,1601870,Female
41,4,-1672690,Male
