,Age,Count,Gender
0,100+,217279,Female
1,100+,-72529,Male
2,99,717206,Female
3,99,-344128,Male
4,94,1348777,Female
5,94,-834401,Male
6,89,1740458,Female
7,89,-1239903,Male
8,84,1938801,Female
9,84,-1501067,Male
10,79,2022027,Female
11,79,-1646311,Male
12,74,1953450,Female
13,74,-1624772,Male
14,69,1886305,Female
15,69,-1591882,Male
16,64,1901845,Female
17,64,-1631871,Male
18,59,1909677,Female
19,59,-1658889,Male
20,54,1909151,Female
21,54,-1667870,Male
22,49,1900064,Female
23,49,-1662668,Male
24,44,1842344,Female
25,44,-1599772,Male
26,39,1724910,Female
27,39,-1492534,Male
28,34,1571352,Female
29,34,-1367345,Male
30,29,1430180,Female
31,29,-1310491,Male
32,24,1447426,Female
33,24,-1454028,Male
34,19,1538228,Female
35,19,-1627085,Male
36,14,1509104,Female
37,14,-1586062,Male
38,9,1400747,Female
39,9,-1463836,Male
40,4,1310444,Female
41,4,-1368552,Male
