,Age,Count,Gender
0,100+,1665,Female
1,100+,-326,Male
2,99,19056,Female
3,99,-4339,Male
4,94,103654,Female
5,94,-28368,Male
6,89,316463,Female
7,89,-104254,Male
8,84,648127,Female
9,84,-300371,Male
10,79,994642,Female
11,79,-603123,Male
12,74,1219616,Female
13,74,-862041,Male
14,69,1286371,Female
15,69,-1019081,Male
16,64,933266,Female
17,64,-814916,Male
18,59,1601258,Female
19,59,-1468158,Male
20,54,1610778,Female
21,54,-1567820,Male
22,49,1604348,Female
23,49,-1619146,Male
24,44,1486604,Female
25,44,-1536257,Male
26,39,1456536,Female
27,39,-1537833,Male
28,34,2086023,Female
29,34,-2192089,Male
30,29,2091197,Female
31,29,-2145181,Male
32,24,2068224,Female
33,24,-2096690,Male
34,19,2098619,Female
35,19,-2170761,Male
36,14,2035940,Female
37,14,-2146387,Male
38,9,2041191,Female
39,9,-2140119,Male
40,4,1782767,Female
41,4,-1870214,Male
