Age,M,F
0-4,1636224,1562522
5-9,1512675,1453818
10-14,1359519,1316024
15-19,1336367,1282874
20-24,1165643,1160461
25-29,1083730,1072364
30-34,1200958,1236266
35-39,1138609,1175987
40-44,1054480,1097907
45-49,816534,928078
50-54,794870,917711
55-59,746350,843875
60-64,635003,760669
65-69,466004,600497
70-74,328883,462219
75-79,209185,318339
80-84,102705,181202
85-89,36944,79199
90-94,8255,22853
95-99,1261,4446
100+,90,402
