Age,M,F
0-4,1288329,1209232
5-9,1196158,1131035
10-14,1104525,1044329
15-19,1157805,1088379
20-24,1328461,1282733
25-29,1689429,1624748
30-34,2091931,1962016
35-39,2077885,1945695
40-44,1934297,1855116
45-49,1767492,1743157
50-54,1544536,1557842
55-59,1286706,1325364
60-64,1182231,1260285
65-69,993589,1095685
70-74,797614,956151
75-79,749441,991075
80-84,495654,771985
85-89,243405,477588
90-94,67265,183005
95-99,14024,49124
100+,1386,6053
