Age,M,F
0-4,688218,644072
5-9,710446,665218
10-14,759701,711463
15-19,833753,782161
20-24,900079,847088
25-29,932552,880301
30-34,941581,891068
35-39,950906,902170
40-44,983227,937336
45-49,1094796,1048017
50-54,1257866,1202170
55-59,1354883,1301874
60-64,1277050,1241895
65-69,1200138,1209471
70-74,1189591,1259562
75-79,1165964,1323537
80-84,1175750,1453812
85-89,1072903,1471773
90-94,603753,993815
95-99,185347,400836
100+,26600,75679
