Age,M,F
0-4,706839,661557
5-9,757671,709325
10-14,827478,775058
15-19,884712,830026
20-24,914442,860767
25-29,926978,875644
30-34,941118,891870
35-39,977814,931229
40-44,1094048,1045386
45-49,1264197,1203157
50-54,1370941,1306789
55-59,1302390,1249986
60-64,1233974,1219966
65-69,1237855,1275223
70-74,1240179,1352468
75-79,1326065,1531554
80-84,1380829,1689441
85-89,1031354,1419720
90-94,528538,895401
95-99,156686,347449
100+,20815,59919
