Age,M,F
0-4,1694082,1603748
5-9,1669119,1586345
10-14,1645809,1576725
15-19,1505425,1454850
20-24,1305907,1294534
25-29,1277509,1241322
30-34,1109948,1108868
35-39,1017504,1044185
40-44,1183775,1206512
45-49,1117391,1153266
50-54,1009501,1060963
55-59,754808,884839
60-64,703436,855257
65-69,606666,761790
70-74,449184,622881
75-79,261369,407694
80-84,130946,242258
85-89,51182,109368
90-94,12180,31036
95-99,1788,5715
100+,135,601
