Age,M,F
0-4,909339,856808
5-9,1025068,969086
10-14,1199373,1127678
15-19,1322483,1241227
20-24,1285893,1207144
25-29,1262628,1206874
30-34,1326395,1294791
35-39,1407202,1410008
40-44,1635750,1654877
45-49,1969631,1954411
50-54,1951549,1932034
55-59,1802560,1831629
60-64,1617788,1702273
65-69,1365858,1494972
70-74,1081780,1244480
75-79,900347,1121825
80-84,626332,868610
85-89,345163,580854
90-94,170026,354102
95-99,38275,104629
100+,3844,14415
