Age,M,F
0-4,881864,827430
5-9,912711,860280
10-14,1026915,971077
15-19,1205244,1134512
20-24,1336938,1257851
25-29,1302881,1226189
30-34,1275887,1221680
35-39,1334322,1304068
40-44,1409684,1414216
45-49,1630432,1653555
50-54,1949043,1945232
55-59,1912965,1914939
60-64,1744825,1806379
65-69,1540503,1669045
70-74,1269510,1451252
75-79,963437,1180392
80-84,732890,1003606
85-89,427518,677854
90-94,166435,335305
95-99,48217,125747
100+,5420,18313
