Age,M,F
0-4,677414,633962
5-9,686653,642829
10-14,693897,649900
15-19,718834,674510
20-24,781526,735710
25-29,867455,818851
30-34,933001,882143
35-39,957179,906159
40-44,957205,907736
45-49,958329,911607
50-54,981529,940805
55-59,1079758,1045329
60-64,1223674,1192550
65-69,1299795,1286134
70-74,1205092,1221696
75-79,1101195,1178379
80-84,1017991,1189187
85-89,839597,1132046
90-94,564500,936314
95-99,235714,500838
100+,39002,107424
