Age,M,F
0-4,629156,588781
5-9,664207,621852
10-14,683129,639820
15-19,695092,652156
20-24,715861,674215
25-29,752824,711308
30-34,814838,770911
35-39,892489,844891
40-44,949060,899068
45-49,965285,916043
50-54,957148,912162
55-59,948527,911344
60-64,959930,936178
65-69,1043320,1036546
70-74,1166946,1178880
75-79,1212407,1263051
80-84,1061379,1172784
85-89,834003,1046045
90-94,532103,828014
95-99,206307,434197
100+,40110,114871
