Age,M,F
0-4,1140409,1078140
5-9,1031810,977767
10-14,1075967,1016743
15-19,1192327,1127823
20-24,1510164,1436273
25-29,1940585,1818207
30-34,1967264,1839188
35-39,1852096,1770467
40-44,1718046,1686518
45-49,1521918,1522684
50-54,1287435,1306794
55-59,1200477,1252054
60-64,1031483,1103024
65-69,870254,991013
70-74,881531,1071472
75-79,662585,912081
80-84,412253,679728
85-89,165202,363599
90-94,58410,158465
95-99,11066,36854
100+,1014,4170
