Age,M,F
0-4,1299306,1214146
5-9,1612089,1526535
10-14,1702328,1611697
15-19,1678126,1599954
20-24,1605797,1558296
25-29,1436703,1417843
30-34,1256041,1242199
35-39,1221129,1221395
40-44,1097831,1098197
45-49,1001360,1033114
50-54,1141237,1183796
55-59,1050250,1120477
60-64,910155,1013749
65-69,637446,820229
70-74,532311,743392
75-79,380482,583325
80-84,209416,381505
85-89,76807,166280
90-94,19552,51965
95-99,3459,10626
100+,294,1071
