Age,M,F
0-4,1149164,1080609
5-9,1280257,1200522
10-14,1196519,1130154
15-19,1116663,1052723
20-24,1172569,1127372
25-29,1303143,1299157
30-34,1597139,1588066
35-39,1981356,1918044
40-44,1990404,1916599
45-49,1867809,1833917
50-54,1711955,1722961
55-59,1490703,1535427
60-64,1234108,1303975
65-69,1118833,1233986
70-74,908890,1053477
75-79,682299,886294
80-84,575481,850704
85-89,309157,562441
90-94,105881,255170
95-99,17212,59887
100+,1806,8499
