Age,M,F
0-4,887462,831008
5-9,885510,830005
10-14,887226,833008
15-19,920733,869306
20-24,1047880,994857
25-29,1237306,1170469
30-34,1367497,1291896
35-39,1324701,1250708
40-44,1287776,1236206
45-49,1335150,1309424
50-54,1394824,1409710
55-59,1587178,1635023
60-64,1858638,1907034
65-69,1778980,1860450
70-74,1566700,1732367
75-79,1306549,1558162
80-84,957684,1264381
85-89,566079,861798
90-94,262688,489760
95-99,65700,156406
100+,7173,22457
