Age,M,F
0-4,872971,817244
5-9,890946,834577
10-14,887466,832085
15-19,893385,840028
20-24,935867,886245
25-29,1065557,1014197
30-34,1251109,1185556
35-39,1376031,1301596
40-44,1328453,1255891
45-49,1286277,1237444
50-54,1325146,1306065
55-59,1372723,1400746
60-64,1545310,1617917
65-69,1787134,1879496
70-74,1680233,1821357
75-79,1432640,1668765
80-84,1109639,1435696
85-89,695438,1039242
90-94,299628,545298
95-99,81881,192249
100+,10069,30072
