Age,M,F
0-4,1362494,1300996
5-9,1249187,1190644
10-14,1179757,1153017
15-19,1346941,1384124
20-24,1321606,1332968
25-29,1160285,1227472
30-34,889121,1022295
35-39,889477,1026904
40-44,862095,932881
45-49,789094,884274
50-54,640135,718725
55-59,532013,628392
60-64,457482,559165
65-69,347449,457489
70-74,240220,333267
75-79,141464,220044
80-84,68107,119668
85-89,23680,50428
90-94,5482,15891
95-99,896,3555
100+,70,429
