Age,M,F
0-4,660553,618155
5-9,681057,637652
10-14,688716,644992
15-19,700257,657054
20-24,734402,691654
25-29,799880,755340
30-34,882304,834382
35-39,943060,892594
40-44,963041,912550
45-49,959248,911096
50-54,955788,912414
55-59,973213,939212
60-64,1063360,1041095
65-69,1198098,1186143
70-74,1262187,1276544
75-79,1152105,1206054
80-84,1005991,1139887
85-89,830302,1077652
90-94,525792,849112
95-99,213302,459376
100+,42927,120146
