Age,M,F
0-4,754089,705681
5-9,825470,772935
10-14,878472,822946
15-19,899127,843732
20-24,908923,856138
25-29,926592,876484
30-34,968169,921006
35-39,1089065,1039506
40-44,1264424,1201020
45-49,1378839,1308562
50-54,1318992,1255349
55-59,1260381,1228974
60-64,1276137,1288004
65-69,1295657,1372032
70-74,1420206,1570865
75-79,1572945,1791722
80-84,1346486,1650700
85-89,926256,1313109
90-94,458231,799255
95-99,126030,284908
100+,15516,45259
