Age,M,F
0-4,575393,538425
5-9,601891,563519
10-14,634911,594666
15-19,672688,631206
20-24,705173,664176
25-29,729226,689014
30-34,749427,709509
35-39,778288,737514
40-44,831536,788126
45-49,901474,855240
50-54,950306,904238
55-59,957723,917021
60-64,939996,909684
65-69,922762,906583
70-74,924546,929430
75-79,987115,1024453
80-84,1052486,1146245
85-89,959239,1157086
90-94,600771,879058
95-99,229773,455658
100+,42794,119274
