Age,M,F
0-4,959150,905860
5-9,1007544,952609
10-14,1108527,1049997
15-19,1352973,1285908
20-24,1713695,1633283
25-29,1773119,1695802
30-34,1705064,1656297
35-39,1616692,1601641
40-44,1458078,1462694
45-49,1259244,1268385
50-54,1195168,1226615
55-59,1044435,1089441
60-64,909785,998885
65-69,974283,1113803
70-74,799677,997943
75-79,572751,811585
80-84,296252,542338
85-89,151152,333208
90-94,49270,128949
95-99,8546,27702
100+,682,2609
