Age,M,F
0-4,683020,639148
5-9,691841,647743
10-14,712492,667367
15-19,766014,718588
20-24,849190,799254
25-29,918255,866651
30-34,947220,895758
35-39,951461,901422
40-44,956518,908398
45-49,984708,940344
50-54,1090271,1047852
55-59,1244392,1198420
60-64,1330402,1294429
65-69,1244967,1232646
70-74,1157775,1196793
75-79,1125044,1236542
80-84,1045313,1265148
85-89,927469,1282428
90-94,639654,1051652
95-99,218309,460956
100+,32212,90008
