Age,M,F
0-4,1377345,1316590
5-9,1352738,1292194
10-14,1240009,1197330
15-19,1166501,1129194
20-24,1285634,1327033
25-29,1239704,1265103
30-34,1113973,1172674
35-39,860402,982535
40-44,857679,983717
45-49,825575,901247
50-54,744366,842488
55-59,594450,692576
60-64,479931,592117
65-69,386629,497212
70-74,268115,371091
75-79,160649,248611
80-84,77079,140409
85-89,26400,56444
90-94,6505,17574
95-99,1106,3978
100+,78,381
