Age,M,F
0-4,993493,934685
5-9,1076706,1020395
10-14,1320525,1254426
15-19,1663284,1584526
20-24,1734624,1657494
25-29,1672130,1617044
30-34,1582462,1558521
35-39,1433310,1430289
40-44,1251645,1252694
45-49,1202020,1219228
50-54,1063913,1089229
55-59,946122,1009384
60-64,1043888,1141793
65-69,907841,1054732
70-74,716323,911050
75-79,429166,666458
80-84,279879,511873
85-89,133346,283169
90-94,39068,101436
95-99,5791,18170
100+,500,1930
