Age,M,F
0-4,1515698,1455547
5-9,1371195,1314656
10-14,1374218,1314243
15-19,1228470,1204029
20-24,1150357,1102438
25-29,1222223,1265042
30-34,1154693,1193958
35-39,1069463,1118145
40-44,834536,946730
45-49,821459,941180
50-54,782984,863865
55-59,689139,794855
60-64,536631,658721
65-69,412220,542279
70-74,300582,412837
75-79,178291,266195
80-84,89860,161808
85-89,29872,65644
90-94,6992,18875
95-99,1194,3985
100+,85,384
