Age,M,F
0-4,563280,527167
5-9,579081,542143
10-14,603987,565704
15-19,641330,601854
20-24,688373,648403
25-29,723710,683876
30-34,744366,704656
35-39,759920,720145
40-44,784814,744233
45-49,834661,792054
50-54,900826,857036
55-59,945236,904280
60-64,948085,915688
65-69,927485,907862
70-74,906160,903992
75-79,899318,924649
80-84,928928,1008305
85-89,907819,1084883
90-94,659495,954321
95-99,259357,505828
100+,47446,129987
