Age,M,F
0-4,821920,769315
5-9,876486,820838
10-14,892915,836672
15-19,893653,839128
20-24,908602,857009
25-29,953758,905674
30-34,1079720,1029428
35-39,1260028,1195443
40-44,1379907,1306888
45-49,1327203,1257398
50-54,1277648,1234973
55-59,1305699,1298772
60-64,1339303,1387720
65-69,1490362,1597131
70-74,1695527,1844420
75-79,1548528,1762547
80-84,1231093,1550232
85-89,820876,1198862
90-94,378906,676209
95-99,96377,221760
100+,12801,37821
