Age,M,F
0-4,1612505,1516847
5-9,1699637,1601421
10-14,1694695,1608564
15-19,1643660,1585286
20-24,1459928,1433645
25-29,1269553,1250902
30-34,1237248,1229681
35-39,1112089,1105614
40-44,1020257,1044287
45-49,1173282,1200881
50-54,1092307,1140269
55-59,968685,1039814
60-64,705428,860221
65-69,631642,813530
70-74,503761,690689
75-79,329059,509664
80-84,158428,290744
85-89,59541,130581
90-94,15794,40707
95-99,2499,7342
100+,199,768
