Age,M,F
0-4,2096110,2005700
5-9,2135049,2049744
10-14,2097266,2019355
15-19,2097153,2041020
20-24,2138680,2043877
25-29,1534741,1427465
30-34,1575781,1481152
35-39,1701091,1627196
40-44,1695470,1656044
45-49,1632907,1663242
50-54,946167,992919
55-59,1285680,1407730
60-64,1226193,1415593
65-69,1041598,1314041
70-74,713414,1093370
75-79,402518,804656
80-84,225753,506811
85-89,89053,235160
90-94,21966,67542
95-99,2799,10629
100+,161,779
