Age,M,F
0-4,1672690,1601870
5-9,1735293,1664297
10-14,1916018,1825840
15-19,2045053,1940937
20-24,1847102,1832476
25-29,1685830,1783254
30-34,1769145,1904006
35-39,1866855,1996110
40-44,1980163,2124053
45-49,2000273,2117929
50-54,1932969,2005409
55-59,2077395,2151033
60-64,1967187,2094128
65-69,1855546,2054340
70-74,1651705,1939563
75-79,1464537,1814872
80-84,1181935,1575785
85-89,549148,848210
90-94,253294,508259
95-99,67187,197635
100+,7814,36296
