Age,M,F
0-4,1906338,1820876
5-9,1882001,1792300
10-14,1895417,1805326
15-19,1996849,1916550
20-24,1943611,1924219
25-29,1863202,1881533
30-34,2111964,2124574
35-39,2113895,2141477
40-44,2126249,2181701
45-49,2055565,2132080
50-54,2033312,2106197
55-59,1980629,2039939
60-64,1315866,1388353
65-69,1197360,1366204
70-74,1106403,1406007
75-79,880858,1282113
80-84,602418,1060827
85-89,197914,436332
90-94,93046,289753
95-99,17692,81425
100+,1494,10198
