Age,M,F
0-4,1664643,1592212
5-9,1742329,1665964
10-14,1825182,1737585
15-19,1826193,1729937
20-24,1632675,1623951
25-29,1579379,1690540
30-34,1743195,1937096
35-39,1820616,2052011
40-44,1854407,2084601
45-49,1894464,2075619
50-54,1888052,2040457
55-59,1929474,2098960
60-64,1896039,2072433
65-69,1773117,1935617
70-74,1813337,2030996
75-79,1609492,1904285
80-84,1350112,1737754
85-89,935610,1380896
90-94,487432,874657
95-99,150656,351813
100+,14980,50320
