Age,M,F
0-4,1497849,1433496
5-9,1571105,1502958
10-14,1693107,1611124
15-19,1763396,1668162
20-24,1626174,1611834
25-29,1489442,1601765
30-34,1535446,1733534
35-39,1613135,1843668
40-44,1656101,1903876
45-49,1758188,1997317
50-54,1859268,2102855
55-59,1833522,2095490
60-64,1788414,2059670
65-69,1760657,2017673
70-74,1685826,1957012
75-79,1623898,1954111
80-84,1438016,1816457
85-89,1089757,1489480
90-94,689684,1118063
95-99,237882,507336
100+,39873,122170
