Age,M,F
0-4,1679558,1607292
5-9,1736337,1661985
10-14,1818747,1735840
15-19,1923946,1823540
20-24,1849319,1830351
25-29,1692682,1807325
30-34,1730550,1914884
35-39,1852425,2019630
40-44,1907416,2051937
45-49,1979282,2123581
50-54,1976176,2103565
55-59,1901297,1992395
60-64,2015576,2127308
65-69,1873589,2046878
70-74,1732177,1993343
75-79,1491055,1838334
80-84,1223523,1633638
85-89,844946,1268980
90-94,286869,534487
95-99,77646,202631
100+,10052,41019
