Age,M,F
0-4,1400323,1340758
5-9,1503198,1438065
10-14,1618668,1540158
15-19,1645732,1555945
20-24,1460580,1453818
25-29,1320065,1439618
30-34,1405978,1608284
35-39,1553619,1783557
40-44,1653507,1894110
45-49,1675370,1913017
50-54,1665523,1908153
55-59,1648202,1901520
60-64,1625215,1900546
65-69,1672097,1967259
70-74,1715239,2053521
75-79,1620788,2006962
80-84,1463487,1893461
85-89,1225512,1694712
90-94,790234,1273649
95-99,328950,690045
100+,63797,190797
