Age,M,F
0-4,1870214,1782767
5-9,2140119,2041191
10-14,2146387,2035940
15-19,2170761,2098619
20-24,2096690,2068224
25-29,2145181,2091197
30-34,2192089,2086023
35-39,1537833,1456536
40-44,1536257,1486604
45-49,1619146,1604348
50-54,1567820,1610778
55-59,1468158,1601258
60-64,814916,933266
65-69,1019081,1286371
70-74,862041,1219616
75-79,603123,994642
80-84,300371,648127
85-89,104254,316463
90-94,28368,103654
95-99,4339,19056
100+,326,1665
