Age,M,F
0-4,1609262,1539582
5-9,1727836,1651909
10-14,1825028,1736857
15-19,1833141,1735370
20-24,1633266,1620868
25-29,1481082,1599675
30-34,1624759,1821386
35-39,1826845,2052175
40-44,1862665,2108214
45-49,1857151,2086147
50-54,1876305,2064690
55-59,1863883,2031322
60-64,1884073,2082811
65-69,1821900,2035526
70-74,1677751,1893162
75-79,1671239,1950279
80-84,1393552,1756351
85-89,1019163,1458849
90-94,528180,929547
95-99,165388,384321
100+,24954,80596
