Age,M,F
0-4,1547031,1480371
5-9,1672512,1599329
10-14,1810533,1722803
15-19,1833035,1734677
20-24,1640409,1626403
25-29,1481925,1596705
30-34,1526919,1730686
35-39,1709072,1936770
40-44,1869318,2108683
45-49,1866194,2110281
50-54,1840636,2076065
55-59,1854569,2056804
60-64,1823606,2018169
65-69,1815356,2048824
70-74,1730359,1994950
75-79,1556474,1825622
80-84,1461098,1811317
85-89,1069107,1493427
90-94,590670,1005402
95-99,185833,422215
100+,28550,92330
