,Age,Count,Gender
0,100+,119274,Female
1,100+,-42794,Male
2,99,455658,Female
3,99,-229773,Male
4,94,879058,Female
5,94,-600771,Male
6,89,1157086,Female
7,89,-959239,Male
8,84,1146245,Female
9,84,-1052486,Male
10,79,1024453,Female
11,79,-987115,Male
12,74,929430,Female
13,74,-924546,Male
14,69,906583,Female
15,69,-922762,Male
16,64,909684,Female
17,64,-939996,Male
18,59,917021,Female
19,59,-957723,Male
20,54,904238,Female
21,54,-950306,Male
22,49,855240,Female
23,49,-901474,Male
24,44,788126,Female
25,44,-831536,Male
26,39,737514,Female
27,39,-778288,Male
28,34,709509,Female
29,34,-749427,Male
30,29,689014,Female
31,29,-729226,Male
32,24,664176,Female
33,24,-705173,Male
34,19,631206,Female
35,19,-672688,Male
36,14,594666,Female
37,14,-634911,Male
38,9,563519,Female
39,9,-601891,Male
40,4,538425,Female
41,4,-575393,Male
