,Age,Count,Gender
0,100+,601,Female
1,100+,-135,Male
2,99,5715,Female
3,99,-1788,Male
4,94,31036,Female
5,94,-12180,Male
6,89,109368,Female
7,89,-51182,Male
8,84,242258,Female
9,84,-130946,Male
10,79,407694,Female
11,79,-261369,Male
12,74,622881,Female
13,74,-449184,Male
14,69,761790,Female
15,69,-606666,Male
16,64,855257,Female
17,64,-703436,Male
18,59,884839,Female
19,59,-754808,Male
20,54,1060963,Female
21,54,-1009501,Male
22,49,1153266,Female
23,49,-1117391,Male
24,44,1206512,Female
25,44,-1183775,Male
26,39,1044185,Female
27,39,-1017504,Male
28,34,1108868,Female
29,34,-1109948,Male
30,29,1241322,Female
31,29,-1277509,Male
32,24,1294534,Female
33,24,-1305907,Male
34,19,1454850,Female
35,19,-1505425,Male
36,14,1576725,Female
37,14,-1645809,Male
38,9,1586345,Female
39,9,-1669119,Male
40,4,1603748,Female
41,4,-1694082,Male
