,Age,Count,Gender
0,100+,120146,Female
1,100+,-42927,Male
2,99,459376,Female
3,99,-213302,Male
4,94,849112,Female
5,94,-525792,Male
6,89,1077652,Female
7,89,-830302,Male
8,84,1139887,Female
9,84,-1005991,Male
10,79,1206054,Female
11,79,-1152105,Male
12,74,1276544,Female
13,74,-1262187,Male
14,69,1186143,Female
15,69,-1198098,Male
16,64,1041095,Female
17,64,-1063360,Male
18,59,939212,Female
19,59,-973213,Male
20,54,912414,Female
21,54,-955788,Male
22,49,911096,Female
23,49,-959248,Male
24,44,912550,Female
25,44,-963041,Male
26,39,892594,Female
27,39,-943060,Male
28,34,834382,Female
29,34,-882304,Male
30,29,755340,Female
31,29,-799880,Male
32,24,691654,Female
33,24,-734402,Male
34,19,657054,Female
35,19,-700257,Male
36,14,644992,Female
37,14,-688716,Male
38,9,637652,Female
39,9,-681057,Male
40,4,618155,Female
41,4,-660553,Male
