,Age,Count,Gender
0,100+,114871,Female
1,100+,-40110,Male
2,99,434197,Female
3,99,-206307,Male
4,94,828014,Female
5,94,-532103,Male
6,89,1046045,Female
7,89,-834003,Male
8,84,1172784,Female
9,84,-1061379,Male
10,79,1263051,Female
11,79,-1212407,Male
12,74,1178880,Female
13,74,-1166946,Male
14,69,1036546,Female
15,69,-1043320,Male
16,64,936178,Female
17,64,-959930,Male
18,59,911344,Female
19,59,-948527,Male
20,54,912162,Female
21,54,-957148,Male
22,49,916043,Female
23,49,-965285,Male
24,44,899068,Female
25,44,-949060,Male
26,39,844891,Female
27,39,-892489,Male
28,34,770911,Female
29,34,-814838,Male
30,29,711308,Female
31,29,-752824,Male
32,24,674215,Female
33,24,-715861,Male
34,19,652156,Female
35,19,-695092,Male
36,14,639820,Female
37,14,-683129,Male
38,9,621852,Female
39,9,-664207,Male
40,4,588781,Female
41,4,-629156,Male
