,Age,Count,Gender
0,100+,429,Female
1,100+,-70,Male
2,99,3555,Female
3,99,-896,Male
4,94,15891,Female
5,94,-5482,Male
6,89,50428,Female
7,89,-23680,Male
8,84,119668,Female
9,84,-68107,Male
10,79,220044,Female
11,79,-141464,Male
12,74,333267,Female
13,74,-240220,Male
14,69,457489,Female
15,69,-347449,Male
16,64,559165,Female
17,64,-457482,Male
18,59,628392,Female
19,59,-532013,Male
20,54,718725,Female
21,54,-640135,Male
22,49,884274,Female
23,49,-789094,Male
24,44,932881,Female
25,44,-862095,Male
26,39,1026904,Female
27,39,-889477,Male
28,34,1022295,Female
29,34,-889121,Male
30,29,1227472,Female
31,29,-1160285,Male
32,24,1332968,Female
33,24,-1321606,Male
34,19,1384124,Female
35,19,-1346941,Male
36,14,1153017,Female
37,14,-1179757,Male
38,9,1190644,Female
39,9,-1249187,Male
40,4,1300996,Female
41,4,-1362494,Male
